Area,crime_2011,crime_2021
E01000674,0.055944056,0.072575848
E01000675,0.085342529,0.079747003
E01000676,0.510795455,0.596285435
E01000677,0.188542825,0.254344392
E01000678,0.040186372,0.045654565
E01000679,0.041342121,0.035911602
E01000680,0.068578554,0.036057692
E01000681,0.014688602,0.017016449
E01000682,0.035502959,0.030264817
E01000683,0.016290727,0.025806452
E01000684,0.024449878,0.013705104
E01000685,0.056194125,0.038461538
E01000686,0.035215947,0.020543406
E01000687,0.041121495,0.039869281
E01000688,0.030014641,0.029282577
E01000689,0.110224801,0.04
E01000690,0.03202847,0.037709497
E01000691,0.038808039,0.038007864
E01000692,0.09689677,0.063511084
E01000693,0.149812734,0.090479406
E01000694,0.029611351,0.026860414
E01000695,0.032754011,0.033596838
E01000696,0.069215557,0.054668305
E01000697,0.046855734,0.03200883
E01000698,0.043918919,0.046940486
E01000699,0.088598901,0.084722222
E01000700,0.028966425,0.050657895
E01000701,0.037453184,0.035564854
E01000702,0.027777778,0.031316726
E01000703,0.060024752,0.085118703
E01000704,0.059876118,0.059651475
E01000705,0.061503417,0.0615727
E01000706,0.059139785,0.056752874
E01000707,0.037491479,0.025657895
E01000708,0.047127179,0.040581466
E01000709,0.074355083,0.047887324
E01000710,0.063423645,0.049445865
E01000711,0.063109581,0.063829787
E01000712,0.04468599,0.05364201
E01000713,0.025836759,0.05516872
E01000714,0.203380877,0.158730159
E01000715,0.02930622,0.035087719
E01000716,0.044155844,0.029751063
E01000717,0.033825338,0.035966981
E01000718,0.061156235,0.05472155
E01000719,0.157594609,0.179839091
E01000720,0.142076503,0.15008338
E01000721,0.117602996,0.137952559
E01000722,0.116504854,0.175159236
E01000723,0.026484751,0.025620496
E01000724,0.085762332,0.082167832
E01000725,0.088484848,0.084793669
E01000726,0.038161994,0.049230769
E01000727,0.089446589,0.10295003
E01000728,0.152957172,0.146822949
E01000729,0.117712382,0.141756549
E01000730,0.096571429,0.106463878
E01000731,0.068181818,0.043196544
E01000732,0.026333558,0.033134526
E01000733,0.069548872,0.051313378
