Area,ethnic_2011,ethnic_2021,education_2011,education_2021,elderly_2011,elderly_2021,unemployed_2011,unemployed_2021,median_house_price_2011,median_house_price_2021,crime_2011,crime_2021,gentrification_score
E01000131,0.543,0.586,0.704,0.587,0.119,0.129,0.100596125,0.111180124,248750,487500,0.042564953,0.063468266,0.525169722
E01000132,0.482,0.578,0.798,0.69,0.077,0.07,0.120740019,0.143211921,230000,435000,0.053691275,0.052005013,0.461586885
E01000133,0.469,0.574,0.791,0.658,0.105,0.105,0.100444444,0.140955364,236250,442500,0.049875312,0.056660639,0.077677005
E01000134,0.503,0.568,0.729,0.631,0.093,0.099,0.102455546,0.119350282,230500,435000,0.027339004,0.045429666,0.394132016
E01000135,0.366,0.394,0.502,0.429,0.188,0.198,0.07747106,0.105339105,440000,1605000,0.063938619,0.050996483,2.01289271
E01000136,0.251,0.359,0.436,0.379,0.209,0.215,0.045192308,0.104184458,1265000,2215500,0.066492829,0.052957359,-1.143695778
E01000137,0.438,0.565,0.669,0.554,0.152,0.108,0.119796092,0.159036145,335000,500000,0.039815349,0.070609535,-0.007398733
E01000138,0.418,0.506,0.659,0.555,0.126,0.14,0.089369708,0.146726862,430000,840000,0.077716644,0.06125,-0.16776029
E01000139,0.332,0.354,0.532,0.413,0.133,0.163,0.081595648,0.089799477,328250,540000,0.098394976,0.048467569,0.029031927
E01000140,0.347,0.396,0.525,0.423,0.118,0.102,0.071759259,0.087837838,413500,735000,0.059002433,0.07165272,0.353543428
E01000141,0.465,0.515,0.631,0.556,0.054,0.093,0.078502415,0.118698149,235000,607500,0.235902256,0.236969371,0.124466515
E01000142,0.439,0.489,0.598,0.537,0.099,0.129,0.097175141,0.129085873,213750,463000,0.052653573,0.051668953,0.318765974
E01000143,0.444,0.519,0.7,0.598,0.096,0.089,0.114206128,0.121304018,243750,500000,0.107021132,0.097313433,0.747415695
E01000144,0.402,0.45,0.445,0.451,0.1,0.117,0.054121565,0.140324963,835000,525000,0.10896196,0.103864734,-2.239950872
E01000145,0.317,0.345,0.566,0.564,0.14,0.156,0.090725806,0.122362869,580000,1117500,0.045245902,0.062153846,0.371866043
E01000146,0.393,0.384,0.489,0.413,0.114,0.118,0.068047337,0.094221106,450000,787500,0.192396313,0.210328133,0.197753227
E01000147,0.626,0.603,0.696,0.623,0.141,0.148,0.087640449,0.097273854,322000,550000,0.033142857,0.034306196,0.480365687
E01000148,0.604,0.445219575,0.701,0.537669242,0.097,0.125633398,0.08169464,0.102151742,213250,317500,0.085342529,0.079747003,-0.026851487
E01000150,0.584,0.583,0.671,0.57,0.125,0.137,0.084856397,0.091722595,224000,385000,0.103182257,0.134016028,0.393025214
E01000151,0.686,0.65,0.746,0.695,0.057,0.057,0.16592724,0.182270091,200000,500000,0.083479276,0.115697674,1.385619444
E01000152,0.633,0.676,0.771,0.495,0.046,0.05,0.133512545,0.10364004,174500,415000,0.060763889,0.052592316,1.089102883
E01000153,0.539,0.582,0.773,0.618,0.106,0.108,0.126467931,0.129939719,228750,500000,0.062580645,0.057428872,0.859177677
E01000154,0.596,0.642,0.743,0.54,0.094,0.086,0.120531154,0.161227154,215000,407500,0.05058651,0.072410148,0.292418477
E01000155,0.552,0.445219575,0.622,0.537669242,0.044,0.125633398,0.08169464,0.102151742,209000,322500,0.085342529,0.079747003,-1.504788844
E01000156,0.244,0.282,0.494,0.432,0.108,0.108,0.05077574,0.068717277,307500,700000,0.067689053,0.038594755,0.641830383
E01000157,0.248,0.275,0.547,0.475,0.086,0.118,0.063139932,0.067048242,207000,360000,0.0374677,0.026498423,0.064640203
E01000158,0.35,0.376,0.61,0.496,0.102,0.139,0.076163611,0.088564058,258250,659250,0.07505071,0.064777328,0.76602961
E01000159,0.276,0.358,0.617,0.523,0.141,0.168,0.063729347,0.088555858,495000,790000,0.074677148,0.066629023,-0.434542974
E01000160,0.383,0.401,0.493,0.439,0.071,0.103,0.065296252,0.086984127,310000,440000,0.082290664,0.096304008,-0.520026041
E01000161,0.383,0.436,0.603,0.53,0.135,0.151,0.052150046,0.130301168,250000,575000,0.066012002,0.060139165,-0.576543122
E01000162,0.378,0.436,0.683,0.572,0.155,0.226,0.092495637,0.146842878,378000,634500,0.067126725,0.098086124,-0.683015999
E01000163,0.368,0.403,0.69,0.605,0.072,0.082,0.106523534,0.150787697,171000,347500,0.056941779,0.097339782,0.259443636
E01000164,0.386,0.435,0.66,0.601,0.082,0.108,0.094693878,0.123511905,261500,660000,0.181496759,0.138111888,0.686162154
E01000165,0.468,0.52,0.589,0.523,0.082,0.161,0.064470918,0.092339261,369000,512500,0.025255239,0.033352176,-1.229953423
E01000166,0.26,0.33,0.632,0.594,0.159,0.194,0.055944056,0.102072141,326000,538750,0.04040404,0.043583535,-0.7214153
E01000167,0.22,0.298,0.748,0.642,0.128,0.122,0.073694985,0.097826087,225000,417500,0.046423135,0.065406977,0.078728219
E01000168,0.247,0.366,0.609,0.521,0.198,0.244,0.054385965,0.07198748,407500,800000,0.049872123,0.038692462,-0.219054373
E01000169,0.165,0.256,0.588,0.515,0.128,0.158,0.047279215,0.083076923,275000,516500,0.043594903,0.044692737,-0.789013291
