LSOA code,All usual residents aged 16-74 ,Never worked and long term unemployed
E01000969,1720,57
E01000970,1331,41
E01000971,1177,47
E01000972,1611,158
E01000973,1613,116
E01000974,1414,122
E01035707,2606,123
E01035708,0,0
E01035709,1256,178
E01035710,2550,302
E01035711,3034,152
E01035712,2344,250
E01000975,1287,92
E01000976,1452,104
E01000977,1350,125
E01000978,1424,89
E01000979,1348,50
E01000980,1045,66
E01000981,1187,73
E01000982,1213,94
E01000983,1311,60
E01000984,1325,101
E01000985,1085,49
E01000986,1262,58
E01000987,1088,35
E01000989,1235,35
E01000990,1000,123
E01000991,1212,44
E01000992,1370,127
E01000993,1194,54
E01000994,1153,119
E01000995,1137,120
E01000996,949,66
E01000997,1005,121
E01000998,1170,119
E01000999,1016,90
E01001000,945,85
E01001001,861,101
E01001002,969,74
E01001003,1081,94
E01001004,1470,156
E01001005,1172,136
E01001006,1045,87
E01001007,1396,176
E01001008,1326,143
E01001009,1046,126
E01001010,1040,118
E01001011,1409,167
E01001012,1440,207
E01001013,1445,203
E01001015,1036,53
E01001016,1227,56
E01001017,1208,50
E01001018,1113,25
E01001019,1088,33
E01001020,1159,35
E01001021,858,65
E01001022,1001,42
E01001023,957,56
E01001024,1062,34
E01001025,940,31
E01001026,1245,34
E01001027,1140,51
E01001028,1188,56
E01001029,1183,97
E01001030,1020,46
E01001031,1087,37
E01001032,968,19
E01001033,1180,66
E01001034,1184,43
E01001035,1399,96
E01001036,1114,85
E01001037,1033,67
E01001038,1488,72
E01001039,1091,39
E01001040,1287,69
E01001041,1203,74
E01001042,1417,133
E01001044,1392,83
E01001046,1310,77
E01001047,1352,64
E01001049,1058,68
E01001050,1123,87
E01001051,996,104
E01001052,918,104
E01001053,1022,92
E01001054,1171,131
E01001055,1098,110
E01001056,1323,195
E01001057,855,134
E01001058,941,34
E01001059,1086,37
E01001060,1152,51
E01001061,1124,62
E01001062,1156,36
E01001063,1167,34
E01001064,1173,34
E01001065,1026,38
E01001066,910,101
E01001067,1174,38
E01001068,1379,60
E01001069,969,32
E01001070,1164,71
E01001071,1374,48
E01001072,1035,26
E01001073,1109,56
E01001074,1464,86
E01001075,1084,49
E01001076,1086,104
E01001077,1032,46
E01001078,966,79
E01001079,1113,98
E01001080,1062,141
E01001081,957,96
E01001082,1102,107
E01001083,1158,79
E01001084,1314,89
E01001085,1138,88
E01001086,1317,114
E01001087,1692,160
E01001088,1205,90
E01001089,1293,137
E01001090,1629,140
E01001091,1187,93
E01001092,1221,125
E01001093,1233,75
E01001094,1142,70
E01001095,1112,49
E01001096,1145,39
E01001097,1594,98
E01001098,1063,45
E01001099,1084,80
E01001100,1093,22
E01001101,1035,27
E01001102,996,27
E01001103,1127,46
E01001104,1224,31
E01001105,1194,53
E01001106,1051,46
E01001107,1213,34
E01001108,1235,31
E01001109,1367,158
E01001110,1335,142
E01001111,1166,85
E01001112,1215,114
E01001113,1299,104
E01001114,961,120
E01001115,1172,161
E01001116,973,94
E01001118,1354,165
E01001119,1135,22
E01001120,931,22
E01001121,1030,26
E01001122,1205,37
E01001123,1068,27
E01001124,1159,32
E01001125,1254,77
E01001126,1061,27
E01001127,1210,40
E01001128,1071,119
E01001129,1092,20
E01001130,1053,166
E01001131,1127,39
E01001132,1111,43
E01001133,1053,55
E01001134,1234,48
E01001135,1211,41
E01001136,1401,160
E01001137,1340,100
E01001138,1180,49
E01001139,1196,75
E01001140,1211,81
E01001141,909,66
E01001142,1119,62
E01001143,1371,133
E01001144,1250,143
E01001145,1210,110
E01001146,1190,89
E01001147,1105,133
E01001148,1158,106
E01001149,1102,92
E01001150,1186,76
E01001151,1138,140
E01001152,1176,131
E01001153,1160,81
E01001154,1353,158
E01001155,1169,158
E01001156,1183,100
E01001157,1259,91
E01001158,1141,80
E01001159,1339,81
E01001160,1437,122
E01001161,1327,200
E01001162,1261,112
E01001163,1417,77
E01001164,1550,93
E01001165,1238,68
E01001166,1328,101
E01001167,1599,122
E01001168,1318,63
E01001169,1142,95
E01001170,1496,104
E01001171,1124,79
E01001172,1198,149
E01001173,1856,120
E01001174,1146,96
E01001175,1093,124
